预测种类,文件名,可信度
HG,HG-5-5.txt,48%
HG,HG-12-2.txt,72%
HG,HG-7-7.txt,48%
HG,HG-14-4.txt,80%
LD,HG-1-1.txt,70%
HH,5-正常品+划痕-6.txt,46%
HG,4-1206正常品-3.txt,55%
HG,HG-3-3.txt,86%
HG,HG-3-1.txt,83%
HH,4-1206正常品-1.txt,54%
HH,5-正常品+划痕-4.txt,87%
LD,HG-1-3.txt,74%
HG,HG-7-5.txt,72%
HG,HG-10-2.txt,44%
HG,HG-10-3.txt,58%
LD,HG-5-6.txt,46%
HG,HG-12-1.txt,80%
LD,HG-1-2.txt,47%
HH,5-正常品+划痕-5.txt,90%
HG,1206端头粗糙-4-5.txt,53%
LD,1206漏镀-1-4.txt,29%
HG,HG-7-9.txt,49%
CC,HG-7-17.txt,43%
HG,1206端头粗糙-2-3.txt,78%
HG,1206端头粗糙-2-2.txt,73%
HG,HG-7-16.txt,53%
HG,HG-7-8.txt,58%
HG,1206端头粗糙-4-4.txt,53%
HG,1206端头粗糙-4-6.txt,53%
HG,HG-9-5.txt,59%
HG,HG-7-14.txt,43%
HG,1206端头粗糙-2-1.txt,83%
HG,HG-9-4.txt,59%
HG,HG-7-15.txt,47%
LD,1206漏镀-3-4.txt,86%
HG,1206端头粗糙-4-3.txt,52%
LD,1206漏镀-1-2.txt,47%
HG,HG-1-9.txt,93%
HG,HG-7-11.txt,49%
HG,HG-10-8.txt,42%
HG,1206端头粗糙-2-5.txt,83%
HG,1206端头粗糙-2-4.txt,78%
HG,HG-10-9.txt,47%
HG,HG-7-10.txt,68%
HG,HG-9-1.txt,59%
LD,1206漏镀-3-1.txt,10%
HG,HG-1-8.txt,88%
LD,1206漏镀-1-3.txt,48%
CC,1206端头粗糙-4-2.txt,67%
HG,1206漏镀-1-1.txt,43%
LD,1206漏镀-3-3.txt,96%
HG,HG-9-3.txt,59%
HG,HG-7-12.txt,68%
HG,1206端头粗糙-2-6.txt,54%
HG,1206端头粗糙-2-7.txt,40%
HG,HG-9-2.txt,59%
HG,HG-7-13.txt,45%
LD,1206漏镀-3-2.txt,52%
CC,1206端头粗糙-4-1.txt,57%
HG,1206端头粗糙-1-2.txt,53%
HG,HG-8-5.txt,59%
HG,1206端头粗糙-5-6.txt,66%
LD,1206漏镀-2-4.txt,90%
HG,HG-8-4.txt,77%
LD,1206端头粗糙-1-3.txt,57%
LD,1206端头粗糙-3-1.txt,49%
LD,1206端头粗糙-3-3.txt,43%
HG,1206端头粗糙-1-1.txt,43%
HG,1206端头粗糙-5-5.txt,85%
HG,1206端头粗糙-5-4.txt,85%
LD,1206端头粗糙-3-2.txt,53%
CC,1206端头粗糙-3-6.txt,43%
HG,1206端头粗糙-1-4.txt,53%
HG,HG-8-3.txt,49%
LD,1206漏镀-2-3.txt,10%
HG,HG-2-8.txt,48%
CC,1206端头粗糙-5-1.txt,66%
HG,HG-2-9.txt,48%
LD,1206漏镀-2-2.txt,55%
HG,HG-8-2.txt,59%
LD,1206端头粗糙-1-5.txt,48%
HG,HG-1-10.txt,84%
LD,1206端头粗糙-1-7.txt,55%
CC,1206端头粗糙-5-3.txt,76%
CC,1206端头粗糙-5-2.txt,66%
HG,1206漏镀-2-1.txt,59%
HG,HG-8-1.txt,77%
HG,1206端头粗糙-1-6.txt,53%
CC,1206端头粗糙-3-4.txt,44%
